lf_indekso;;;;;;;;;;;
lf_indekso;;;;;;;;;;;
jaro;monato;n-ro;paĝo(j);aŭtoro(j);titolo;tradukis;fontlingvo;rubriko;ŝlosilvorto;recenzita verko/filmo;tipologio
05 - 1974;februaro;23;12-13;Giuseppe Ungaretti;Vi kriis: mi sufokiĝas…;Luigi Minnaja;itala;BELETRO;tradukita poezio;;poezio tradukita
05 - 1974;februaro;23;14;redakcie;"Premio ""Luciano Cattorini""";;;REDAKCIE;aktualaĵoj;;anonco
05 - 1974;aprilo;24;2-3;redakcie;Premio Picenum 1974;;;REDAKCIE;aktualaĵoj;;anonco
05 - 1974;aprilo;24;3;Josip Velebit;Kanto de l’ maljunulo;;;BELETRO;originala poezio;;poezio originala
05 - 1974;aprilo;24;4;Ruzar Briffa;Anastezio;Carmel Mallia;malta;BELETRO;tradukita poezio;;poezio tradukita
05 - 1974;aprilo;24;5-9;István Szerdahelyi;La karaktero de vortelementoj en Esperanto (2);;;LINGVISTIKO;lingvistko;;eseo originala
05 - 1974;aprilo;24;10-11;Carlo Minnaja;Forge kaj abismoj;;;EN VITRINO;recenzo;Jean Forge (1923), Abismoj, (1924) Saltego trans jarmiloj;recenzo
05 - 1974;aprilo;24;12-14;Giorgio Silfer;Intervjuo al Jussi Jüntti, respondeculo de FES;;;INTERVJUO;intervjuo;;intervjuo
05 - 1974;aprilo;24;16;redakcie;La duonhoro de G. Mangini;;;HUMURO;humuro;;prozo originala
05 - 1974;junio-aŭgusto;25-26;2;Asterikso;Konkursado, konkursado…;;;ESEO;artikolo;;eseo originala
05 - 1974;junio-aŭgusto;25-26;3;;"Premio ""Luciano Cattorini""";;;REDAKCIE;aktualaĵoj;;anonco
05 - 1974;junio-aŭgusto;25-26;4;Giancarlo Mangini;La duonhoro;;;HUMURO;humuro;;prozo originala
05 - 1974;junio-aŭgusto;25-26;5-10;Alfredo Perricone Pirandello;La mistera kastelo de baronino Risi;;;BELETRO;originala prozo;;prozo originala
05 - 1974;junio-aŭgusto;25-26;11-13;Giorgio Silfer;Doktoro Rosales;;;TEATRO;originala dramo;;teatro originala
05 - 1974;junio-aŭgusto;25-26;14;Lina Gabrielli;Molaj kiel veluro;;;BELETRO;originala poezio;;poezio originala
05 - 1974;junio-aŭgusto;25-26;15-16;Aldo de’ Giorgi;Ho, kiom mole hidas!;;;BELETRO;originala poezio;;poezio originala
05 - 1974;junio-aŭgusto;25-26;16-17;Julius Balbin;Neelĉifreble;;;BELETRO;originala poezio;;poezio originala
05 - 1974;junio-aŭgusto;25-26;17-18;Enzo Guernieri;La nova epoko kaj la paco de Gienz;;;EN VITRINO;recenzo;Gienz (1974), La nuova era e la pace di Gienz;recenzo
05 - 1974;junio-aŭgusto;25-26;19;Librofako de la Patrolo;Nove, sed ne konkurence;;;EN VITRINO;recenzoj;;recenzo
05 - 1974;junio-aŭgusto;25-26;20-22;Konfidence de la redaktejo;Konfidence el la redaktejo;;;INTERVJUO;intervjuo;;intervjuo
